"","breed","parity","kgmilk","cellcount","cowid","InCalf"
"609","Friesian","3",29,120,"57840574","1"
"610","Friesian","2",13,290,"57840578","1"
"611","Friesian","2",16.6,630,"57840580","1"
"612","Guernsey","2",14.2,240,"57840586","1"
"613","Friesian","2",14.8,330,"57840590","0"
"614","Friesian","2",18.6,120,"57840597","0"
"615","Friesian","2",22.4,130,"57840599","1"
"616","Friesian","1",8.4,220,"57840604","1"
"617","Friesian","2",26.6,110,"57840611","1"
"618","Friesian","2",20.6,90,"57840612","1"
"619","Friesian","2",20.6,430,"57840614","0"
"620","Guernsey","2",22.8,240,"57840617","1"
"621","Friesian","1",18.2,60,"57840620","1"
"622","Friesian","1",17,100,"57840628","0"
"623","Friesian","2",21,190,"57840629","0"
"624","Friesian","1",24.2,2810,"57840632","1"
"625","Friesian","2",22.6,70,"57840636","1"
"626","Friesian","2",22.2,60,"57840637","1"
"627","Friesian","1",14.4,30,"57840643","0"
"628","Friesian","1",19.4,160,"57840644","0"
"629","Friesian","1",25.6,110,"57840645","0"
"630","Friesian","1",14.2,2050,"57840646","1"
"631","Friesian","1",21,60,"57840647","0"
"632","Friesian","1",19.6,230,"57840648","1"
"633","Friesian","1",20.4,50,"57840652","1"
"634","Friesian","1",20.6,40,"57840668","0"
"635","Friesian","1",25.4,440,"57840672","1"
"636","Friesian","1",24.6,100,"57840678","1"
"637","Friesian","1",22.4,20,"57840681","1"
"638","Friesian","1",19,50,"57840682","0"
"639","Friesian","1",17,310,"57840696","0"
"640","Jersey","4",19.6,100,"58650404","0"
"641","Jersey","4",17.4,1400,"58650405","1"
"642","Jersey","4",17.4,360,"58650420","1"
"643","Jersey","2",17.6,80,"58650477","1"
"644","Guernsey","6",20.6,850,"59520810","0"
"645","Guernsey","5",23.2,150,"59520903","1"
"646","Guernsey","4",16,550,"59520966","1"
"647","Guernsey","4",26.8,450,"59520971","0"
"648","Guernsey","4",16.4,140,"59520972","1"
"649","Guernsey","4",16.4,540,"59520984","1"
"650","Guernsey","4",23.4,90,"59520995","1"
"651","Guernsey","3",16,570,"59520998","1"
"652","Guernsey","3",32.4,130,"59521009","1"
"653","Guernsey","4",31,310,"59521012","1"
"654","Holstein-Friesian","4",17.6,460,"59521027","1"
"655","Guernsey","4",27,270,"59521046","1"
"656","Guernsey","3",20.4,130,"59521049","0"
"657","Holstein-Friesian","3",30.8,130,"59521050","1"
"658","Guernsey","3",12.8,1010,"59521063","1"
"659","Holstein-Friesian","3",18.8,330,"59521078","1"
"660","Guernsey","2",23.8,140,"59521079","1"
"661","Guernsey","3",19.4,180,"59521081","0"
"662","Guernsey","3",28.4,1680,"59521082","1"
"663","Guernsey","3",34.8,40,"59521085","1"
"664","Holstein-Friesian","3",26,140,"59521090","1"
"665","Guernsey","1",16.2,440,"59521103","1"
