breed,parity,kgmilk,cellcount,cowid
2,1,17.5,3235,323720713
2,1,26.5,143,323720715
2,1,22.4,75,323720718
2,1,29.9,37,323720722
2,1,17.4,30,327430848
2,1,32.2,623,334260562
2,2,23.8,293,337640730
2,1,21.4,22,337640770
1,6,12.4,1035,349800510
1,6,25.8,659,349800512
1,5,24.8,857,349800605
1,4,20.6,291,349800616
1,4,14,249,349800623
1,4,27.8,1542,349800625
1,4,29.2,251,349800631
1,4,29.2,51,349800639
1,4,29.6,113,349800641
1,3,8.8,785,349800643
1,3,4.4,1030,349800644
1,3,28.2,147,349800647
1,3,16.8,1019,349800648
1,3,20.2,6247,349800650
1,3,16.6,98,349800651
1,3,21,145,349800652
1,3,22.2,580,349800653
1,3,21.4,1306,349800654
1,3,26.6,549,349800655
1,3,19,725,349800664
1,2,18,948,349800665
1,2,16.4,1025,349800666
1,2,21,629,349800668
1,2,19.6,55,349800670
1,2,19.8,505,349800671
1,2,17.8,324,349800672
1,1,13.4,220,349800673
1,1,14.4,105,349800674
1,2,23,67,349800678
1,2,9.4,446,349800679
1,2,18.6,242,349800681
1,2,20.8,48,349800682
1,2,26.8,202,349800684
1,1,15.4,15,349800687
1,1,15.4,20,349800688
1,1,15.8,31,349800689
1,1,17,73,349800690
1,1,18.6,88,349800691
1,1,8.8,496,349800692
1,1,16.4,62,349800693
1,1,13,556,349800694
1,1,17.8,497,349800695
1,1,18.4,113,349800696
1,1,20.8,110,349800697
1,1,20.6,121,349800699
1,1,18.4,15,349800700
1,1,20,22,349800801
1,1,20.8,16,349800802
1,1,24.2,35,349800803
1,1,14,216,349800804
1,1,17.2,51,349800805
1,1,14.6,85,349800806
1,1,20,3694,349800807
1,1,19.8,398,349800809
2,7,31.4,47,350690344
2,5,17,916,350690357
2,6,31,72,350690369
2,5,33.2,485,350690377
8,5,31,180,350690402
2,4,31.6,205,350690403
2,4,29.8,926,350690406
8,4,30.6,1513,350690415
2,3,19.4,1006,350690418
2,3,18,152,350690419
8,1,18.4,138,350690432
2,2,21,293,350690433
2,2,19.6,410,350690434
2,2,21.8,142,350690437
2,2,14.4,695,350690438
2,2,22.4,502,350690442
2,2,14.8,281,350690443
2,1,19.6,69,350690455
2,1,14.6,106,350690456
2,1,16.2,308,350690465
2,1,15.4,86,350690466
2,1,17.6,351,350690468
8,1,19.8,28,350690475
2,1,23.2,301,350690476
2,1,21.2,246,350690484
2,2,28.9,39,351580736
2,1,19.8,110,368560090
2,2,18.5,274,370360441
2,2,13.1,812,370360444
2,4,22,68,391750569
2,5,27.6,2161,411850844
2,2,20.2,221,428270032
2,6,16.4,310,439270605
2,3,16.8,952,440321295
2,2,18.6,305,440920039
2,3,31.4,2520,446420765
2,4,41.8,90,447400204
2,5,29.8,90,447400215
2,4,36.4,160,447400256
2,3,39.6,260,447400262
2,3,22.6,730,447400266
2,3,29.6,80,447400267
2,3,25.2,270,447400279
2,3,37.8,40,447400294
2,2,17.8,500,447400296
2,2,14,390,447400297
2,1,15.6,100,447400308
2,1,21.6,60,447400311
2,1,20.4,40,447400319
2,1,18.4,60,447400320
2,1,20.2,270,447400321
2,1,17.4,150,447400322
2,1,20,140,447400323
2,1,20.8,60,447400324
2,1,22.4,100,447400326
2,1,15.2,280,447400327
2,1,19.4,90,447400328
2,1,22.2,80,447400329
8,4,38.2,230,452201582
2,4,31,110,452201583
2,3,38,120,452201818
